time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-14 19:37:35.313508, 128, 0.7, 24, 32, 9, 1, 1, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.702346325369972, -1.2028129834468992, 32.32637224352828, 1.0049370149976466, 1.6946774320069995, 2.1320382226359995, 714.4400997591046, 712.3835277026126, 1.8647835458113615
2019-08-14 19:41:03.687943, 128, 0.7, 24, 32, 9, 1, 2, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.5211629056226337, -11.980364915551698, 32.3653223873442, 0.9960792374871317, 1.6881832967764794, 0.679648110921116, 204.21602153584686, 203.00311180152926, 1.786651055399089
2019-08-14 19:45:01.233187, 128, 0.7, 24, 32, 9, 1, 3, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.5330019382331996, -14.625243319245092, 32.30989333652924, 0.9770778090857365, 1.6727575959527163, 0.4138080582401887, 101.69692767680037, 101.49314485145315, 1.7886332057466443
2019-08-14 19:49:07.405733, 128, 0.7, 24, 32, 9, 1, 4, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.7858264115189497, -14.886147845281645, 32.823735618408435, 0.9595650506123611, 1.6537859754101518, 0.3151815290511634, 63.47393683590147, 63.500641210186785, 1.7945590581555608
2019-08-14 19:53:12.570121, 128, 0.7, 24, 32, 9, 1, 5, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.4283944005136884, -14.583265649456866, 32.75781999041227, 0.9681571472825417, 1.6468553306170388, 0.2661964291545042, 51.08429017675224, 50.69430911419937, 1.8143824342341803
2019-08-14 19:59:27.120009, 128, 0.7, 24, 32, 9, 1, 6, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.4018700913113555, -15.46782771827415, 33.64393576222435, 0.9414304334659964, 1.6208807930135913, 0.23314642828961085, 33.79943868370271, 33.461093603231916, 1.8209988090244487
2019-08-14 20:04:33.920880, 128, 0.7, 24, 32, 9, 1, 7, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.5568577048340377, -14.911861847660752, 33.719588926174495, 0.9237152614976176, 1.6131243088647897, 0.20246770259759672, 28.920592434994926, 28.822162534640633, 1.7904683567533557
2019-08-14 20:09:05.313597, 128, 0.7, 24, 32, 9, 1, 8, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.4862184861393386, -14.89366723634432, 35.69181447746884, 0.8933530661610569, 1.5664017601732836, 0.18455342244184686, 18.88342047072383, 18.606551031354297, 1.8257275999220997
2019-08-14 20:12:14.876398, 128, 0.7, 24, 32, 9, 1, 9, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.396618772117911, -15.338055016891639, 36.33898609779482, 0.8829454279918064, 1.5514900259873117, 0.1693421847051369, 16.79715434300102, 16.53167680164723, 1.7656165732861937
2019-08-14 20:16:05.684034, 128, 0.7, 24, 32, 9, 1, 10, 1e-05, 7.154, 1.0, 0.001, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.3997020441037726, -13.283305495925305, 36.93747003835091, 0.8597782391840211, 1.5373737218659813, 0.16996774461310285, 15.119094044313128, 14.8534686814926, 1.8071808709851391
time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, CODEBOOK_SIZE, UTILITY_CONSTRAINT, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, count_failed, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-15 00:47:19.051779, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 1, 2, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.760196612633461, -17.080411403654125, 0, 32.21551414189837, 1.011098752297835, 1.6954793176211982, 0.06991709849138171, 1.9963430449176245, 2.646002637069407, 1.8607700892857142
2019-08-15 00:54:43.950319, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 10, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.586454781983506, -16.602536004628547, 198, 32.458203499520614, 1.0058131929929837, 1.695710462277581, 0.07601380223024176, 2.1912384805463603, 2.4426270602158873, 2.073824567054171
2019-08-15 01:04:33.521121, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 50, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.67426899745222, -16.605026418474477, 125, 32.29790867689358, 1.0034240469030526, 1.693270604028692, 0.09469080512105552, 1.8935254006618762, 2.2597777808262958, 4.4970543953739215
2019-08-15 01:32:44.466130, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 100, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.57158069851641, -16.944795186541356, 179, 32.43198705656759, 1.0027147003003547, 1.6931187061255812, 0.054095932296749666, 2.0974787061464024, 2.371334494775787, 2.6435443881831255
2019-08-15 02:19:36.340092, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 500, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.5548289352265536, -16.263042126367317, 34, 32.481423777564714, 1.0079441151324926, 1.691926519634699, 0.08106516966261072, 2.186326472841552, 2.2877918519493634, 2.2508464165867688
2019-08-15 05:38:50.401205, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 1000, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.5654820776185163, -16.090758873916755, 73, 32.564567353787155, 0.9950633032042351, 1.6924110541804733, 0.0591593988332136, 2.1826083282021447, 2.22218967970447, 2.8261906010306808
2019-08-15 13:45:33.123592, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 10, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.4918883167974406, -16.22964879305895, 40, 32.41800742574257, 1.0113303676144505, 1.7057684843988252, 0.08288738149844939, 1.8010706056440478, 2.171293534107699, 2.775709699876238
2019-08-15 13:47:26.161272, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.4208760492859906, -16.64369460021515, 51, 32.40253712871287, 0.9902903254245565, 1.7110969783931624, 0.06725402414798821, 1.9267554578286943, 2.906071225608102, 2.1702216120049505
2019-08-15 13:49:41.215292, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 30, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.8496690333628685, -15.703107328954136, 19, 32.650061881188115, 1.0142013373139747, 1.698337960275674, 0.10655275905758085, 2.0395695918399683, 2.3666076981949566, 1.923296333539604
time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, CODEBOOK_SIZE, UTILITY_CONSTRAINT, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, count_failed, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-15 14:12:31.531279, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 10, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.5830756331455933, -16.46383756203503, 134, 32.363861386138616, 0.9935058926332065, 1.7118964813257072, 0.07223393690757936, 2.098870369978552, 2.5214197579594937, 1.3005008508663367
